User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
1834,0,2004,6,20,16:00,$31.91,Swipe Transaction,3773547005859668305,Mobile,AL,36610.0,5211,,No
1535,0,2006,6,28,09:34,$99.00,Swipe Transaction,1799189980464955940,Munfordville,KY,42765.0,5499,,No
1452,0,2018,6,5,15:16,$69.03,Chip Transaction,4722913068560264812,Los Angeles,CA,90004.0,5411,,No
510,3,2006,1,11,10:16,$67.38,Swipe Transaction,6181510752141427450,Longview,TX,75604.0,7538,,No
377,1,2006,7,5,07:02,$46.09,Swipe Transaction,-5475680618560174533,Woburn,MA,1801.0,5942,,No
1495,0,2012,5,25,13:59,$-100.00,Swipe Transaction,-1288082279022882052,Laurinburg,NC,28352.0,5499,,No
1178,1,2008,9,4,10:06,$79.07,Swipe Transaction,-5467922351692495955,Barberton,OH,44203.0,5912,,No
323,0,2011,6,1,07:23,$6.61,Swipe Transaction,4751695835751691036,Huntingdon Valley,PA,19006.0,5814,,No
1934,1,2002,6,25,20:36,$54.43,Swipe Transaction,7847619186796796084,Rockingham,NC,28379.0,5812,,No
696,0,2012,8,5,12:12,$-59.00,Swipe Transaction,2027553650310142703,Rome,NY,13440.0,5541,,No
1898,1,2010,8,9,09:01,$29.63,Swipe Transaction,-5475680618560174533,Guilford,CT,6437.0,5942,,No
822,3,2001,11,6,01:33,$2.39,Swipe Transaction,838425044734233142,Mount Vernon,NY,10550.0,4814,,No
1188,3,2015,6,28,08:46,$2.66,Swipe Transaction,-5162038175624867091,Colorado Springs,CO,80915.0,5541,,No
960,2,2019,4,4,14:40,$37.97,Chip Transaction,746061614098998133,San Leandro,CA,94577.0,4121,,No
1343,4,2009,2,23,11:21,$5.04,Swipe Transaction,97032797689821735,Concord,VT,5824.0,5411,,No
884,3,2014,4,26,11:26,$11.65,Swipe Transaction,-5023497618971072366,Beecher,IL,60401.0,5812,,No
1791,3,2004,6,18,10:29,$1.75,Swipe Transaction,-5162038175624867091,Huntington,IN,46750.0,5541,,No
515,2,2009,5,28,05:17,$60.00,Swipe Transaction,-4282466774399734331,Suring,WI,54174.0,4829,,No
753,0,2016,11,29,11:54,$-64.00,Chip Transaction,-1288082279022882052,Howells,NE,68641.0,5499,,No
558,0,2009,7,1,07:28,$17.63,Swipe Transaction,-78623140988157075,The Villages,FL,32162.0,7542,,No
320,0,2013,10,24,20:32,$80.54,Swipe Transaction,6882551472640459815,Fitzgerald,GA,31750.0,5812,,No
139,0,2003,2,13,07:54,$29.48,Swipe Transaction,-5904116920141006298,Brooklyn,NY,11212.0,5719,,No
